experimento,modelo,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted
Experimento 2,Regresión Logística balanced,0.7074643249176729,0.3903265430479131,0.4642551874348642,0.39106455899627623,0.7669072022009429
Experimento 1,Árbol de Decisión,0.8512623490669594,0.4032554809025397,0.3817008015230927,0.3893492832509608,0.8409386611931466
Experimento 2,Random Forest balanced,0.8841931942919868,0.4359930834839036,0.368638858993084,0.3784939791693696,0.8548181545041368
Experimento 1,Regresión Logística,0.894072447859495,0.4920622577831167,0.3597002499888779,0.3649813096809577,0.8565367252929532
Experimento 2,Regresión Logística sin balanceo,0.894072447859495,0.4920622577831167,0.3597002499888779,0.3649813096809577,0.8565367252929532
Experimento 3,RF limitado n100 depth10,0.897914379802415,0.29930479326747167,0.3333333333333333,0.31540389435126276,0.8496170765510416
Experimento 3,RF robusto n200 depth20,0.897914379802415,0.29930479326747167,0.3333333333333333,0.31540389435126276,0.8496170765510416
Experimento 1,Random Forest,0.8968166849615807,0.29926739926739926,0.33292583537082315,0.3152006172839506,0.8490695003455706
Experimento 2,Random Forest sin balanceo,0.8968166849615807,0.29926739926739926,0.33292583537082315,0.3152006172839506,0.8490695003455706
Experimento 3,RF básico n100 depthNone,0.8968166849615807,0.29926739926739926,0.33292583537082315,0.3152006172839506,0.8490695003455706
